region_id,region_name
REG0001,Visakhapatnam
REG0002,Women Societies
REG0003,Ahmedabad
REG0004,Apex Societies
REG0005,Botad
REG0006,Salem
REG0007,Bathinda
REG0008,Jamnagar
REG0009,Theni
REG0010,Barnala
REG0011,Dahod
REG0012,SAS Nagar
REG0013,Mahesana
REG0014,Valsad
REG0015,Palnadu
REG0016,Surendranagar
REG0017,Kachchh
REG0018,Ntr
REG0019,Patan
REG0020,Tarn Taran
REG0021,Kheda
REG0022,Junagadh
REG0023,Erode
REG0024,Pudukkottai
REG0025,Bapatla
REG0026,The Dangs
REG0027,Ludhiana
REG0028,Surat
REG0029,Arvalli
REG0030,Gandhinagar
REG0031,Rajkot
REG0032,Krishna
REG0033,Gir Somnath
REG0034,Jalandhar
REG0035,Bharuch
REG0036,Mahisagar
REG0037,Panch Mahals
REG0038,Kurnool
REG0039,Vizianagaram
REG0040,Kapurthala
REG0041,Prakasam
REG0042,Amreli
REG0043,SBS Nagar
REG0044,Fatehgarh Sahib
REG0045,Tiruvannamalai
REG0046,Gurdaspur
REG0047,Faridkot
REG0048,Madurai
REG0049,Fazilka
REG0050,Tapi
REG0051,Banas Kantha
REG0052,Spsr Nellore
REG0053,Punjab
REG0054,Ysr
REG0055,Anand
REG0056,Rupnagar
REG0057,Morbi
REG0058,Moga
REG0059,Narmada
REG0060,Devbhumi Dwarka
REG0061,Srikakulam
REG0062,Vadodara
REG0063,Tiruppur
REG0064,Nandyal
REG0065,Sabar Kantha
REG0066,Cuddalore
REG0067,Sri Muktsar Sahib
REG0068,Amritsar
REG0069,Ferozpur
REG0070,Porbandar
REG0071,Navsari
REG0072,Chittoor
REG0073,Pathankot
REG0074,Sangrur
REG0075,East Godavari
REG0076,Patiala
REG0077,Thiruvallur
REG0078,Bhavnagar
REG0079,Coimbatore
REG0080,Chhota Udepur
REG0081,Hoshiarpur
REG0082,West Godavari
REG0083,Ananthapur
REG0084,Krishnagiri
REG0085,Guntur
REG0086,Dindigul
REG0087,Mansa
